fid,ID,Distance,RDistance,SP_Dist,SP_RDist,Sinuosity,fid_2,Bach,Name,Order,Easting,Northing,Elevation,Elevation_corr,Width,Depth1,Depth2,Depth3,StreamPart,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,ID_2
"24","4",322.463259775622,322.463259775622,288.601464825074,288.601464825074,1.03851726526271,"4",2,2 Bach 03 v2,"3",2645630.862,1149908.107,2659.331,2657.921,"110","15","17","25",,8.03305307,46.4989338,2712.62,Global,0.011,0.011,0.01,0.015,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.3,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,100.553,CH1903+ / LV95 + LN02 height,
"25","4",322.463259775622,322.463259775622,288.601464825074,288.601464825074,1.01280275493296,"7",2,2 Bach 06,"6",2645679.304,1149885.832,2657.628,2656.218,"80","20","25","22",,8.03368188,46.49873013,2710.917,Global,0.049,0.041,0.014,0.064,0.134,m,FIX,2024/08/09,2024/08/09,"51",1.4,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,86.507,CH1903+ / LV95 + LN02 height,
"26","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.02583587405648,"40",1.1,1upper 04,"4",2645886.746,1150617.984,2663.442,2662.032,"65","33","40","38",Inj,8.03645663,46.50530191,2716.717,Global,0.011,0.011,0.017,0.015,0.134,m,FIX,2024/08/11,2024/08/11,"51",2.2,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,77.974,CH1903+ / LV95 + LN02 height,
"27","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.04086175369138,"43",1.1,1upper 07,"7",2645890.507,1150566.275,2661.001,2659.591,"105","33","38","40",WTW,8.03650049,46.50483652,2714.276,Global,0.012,0.017,0.019,0.021,0.134,m,FIX,2024/08/11,2024/08/11,"51",1.3,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,40.455,CH1903+ / LV95 + LN02 height,
"28","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.00521280148737,"42",1.1,1upper 06,"6",2645888.956,1150593.863,2661.925,2660.515,"70","23","28","30",,8.03648302,46.50508479,2715.2,Global,0.013,0.012,0.014,0.018,0.134,m,FIX,2024/08/11,2024/08/11,"51",1.8,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,57.74,CH1903+ / LV95 + LN02 height,
"29","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.01741227157783,"45",1.1,1upper 09,"9",2645904.601,1150545.484,2659.692,2658.282,"75","20","30","27",CTD,8.03668204,46.50464853,2712.967,Global,0.015,0.015,0.013,0.021,0.134,m,FIX,2024/08/11,2024/08/11,"51",1.4,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,31.74,CH1903+ / LV95 + LN02 height,
"30","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.00416879188613,"44",1.1,1upper 08,"8",2645894.532,1150558.833,2660.516,2659.106,"65","25","25","25",,8.03655219,46.5047693,2713.792,Global,0.011,0.014,0.012,0.018,0.134,m,FIX,2024/08/11,2024/08/11,"51",1.3,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,36.106,CH1903+ / LV95 + LN02 height,
"31","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.07987453058787,"37",1.1,1upper 01,"1",2645860.179,1150655.315,2664.74,2663.33,"70","25","20","22",further_up,8.03611422,46.50563954,2718.015,Global,0.012,0.013,0.017,0.017,0.134,m,FIX,2024/08/11,2024/08/11,"51",2.2,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,120.974,CH1903+ / LV95 + LN02 height,
"32","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.03678249307704,"39",1.1,1upper 03,"3",2645873.288,1150637.663,2664.271,2662.861,"99","34","31","30",further_up,8.03628325,46.50547986,2717.546,Global,0.018,0.013,0.019,0.022,0.134,m,FIX,2024/08/11,2024/08/11,"51",2.3,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,100.071,CH1903+ / LV95 + LN02 height,
"33","0",84.0590696318672,84.0590696318672,76.1064075452997,76.1064075452997,1.0018518364411,"38",1.1,1upper 02,"2",2645867.1,1150644.443,2664.432,2663.022,"80","20","22","24",further_up,8.03620331,46.50554127,2717.707,Global,0.012,0.013,0.02,0.018,0.134,m,FIX,2024/08/11,2024/08/11,"51",1.7,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,108.538,CH1903+ / LV95 + LN02 height,
