Stream,StreamSection,StreamPartText,Name,Order,Easting,Northing,Elevation,Elevation_corr,Width,Depth1,Depth2,Depth3,Longitude,Latitude,Ellipsoidal height,Ellh_corr,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,2,,1 Bach 04,4,2646008.814,1150396.466,2654.047,2652.637,155,30,28,28,8.03802484,46.50330091,2707.323,2705.913,Global,0.011,0.011,0.013,0.015,0.134,m,FIX,2024-08-09 16:27:33.6 UTC+02:00,2024-08-09 16:27:43.6 UTC+02:00,51,1.5,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,523.368,CH1903+ / LV95 + LN02 height
1,3,WTW,1 Bach 05,5,2646023.101,1150382.492,2653.586,2652.176,150,30,40,45,8.03820958,46.50317423,2706.863,2705.453,Global,0.011,0.014,0.017,0.018,0.134,m,FIX,2024-08-09 16:30:00.4 UTC+02:00,2024-08-09 16:30:10.4 UTC+02:00,51,1.8,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,520.305,CH1903+ / LV95 + LN02 height
1,4,,1 Bach 06,6,2646034.213,1150370.141,2653.284,2651.874,195,20,30,28,8.0383531,46.50306236,2706.561,2705.151,Global,0.049,0.056,0.077,0.075,0.134,m,FIX,2024-08-09 16:31:53.6 UTC+02:00,2024-08-09 16:32:03.6 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,517.195,CH1903+ / LV95 + LN02 height
1,4,,1 Bach 06 v2,6,2646034.245,1150370.122,2653.242,2651.832,195,20,30,28,8.03835352,46.50306219,2706.519,2705.109,Global,0.015,0.011,0.016,0.018,0.134,m,FIX,2024-08-09 16:32:15.0 UTC+02:00,2024-08-09 16:32:25.0 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,517.25,CH1903+ / LV95 + LN02 height
1,4,,1 Bach 07,7,2646040.968,1150344.781,2652.183,2650.773,160,28,30,45,8.03843858,46.50283378,2705.46,2704.05,Global,0.01,0.01,0.023,0.015,0.134,m,FIX,2024-08-09 16:34:25.2 UTC+02:00,2024-08-09 16:34:35.2 UTC+02:00,51,1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,502.002,CH1903+ / LV95 + LN02 height
1,4,,1 Bach 08,8,2646045.402,1150331.158,2651.915,2650.505,210,30,33,33,8.03849498,46.50271094,2705.192,2703.782,Global,0.01,0.01,0.021,0.014,0.134,m,FIX,2024-08-09 16:37:11.2 UTC+02:00,2024-08-09 16:37:21.2 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,494.731,CH1903+ / LV95 + LN02 height
1,5,CTD,1 Bach 09,9,2646046.848,1150325.451,2651.785,2650.375,210,25,33,38,8.03851324,46.5026595,2705.062,2703.652,Global,0.012,0.011,0.014,0.016,0.134,m,FIX,2024-08-09 16:38:47.8 UTC+02:00,2024-08-09 16:38:57.8 UTC+02:00,51,1.6,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,491.502,CH1903+ / LV95 + LN02 height
1,6,further_down,1 Bach 10,10,2646052.624,1150306.306,2650.486,2649.076,170,50,55,50,8.03858658,46.50248689,2703.764,2702.354,Global,0.012,0.011,0.018,0.016,0.134,m,FIX,2024-08-09 16:41:23.6 UTC+02:00,2024-08-09 16:41:33.6 UTC+02:00,51,1.7,2645713.674,1149964.656,2666.29,8.03413737,46.49943684,2719.576,481.7,CH1903+ / LV95 + LN02 height
5,0,further_up,1upper 01,1,2645860.179,1150655.315,2664.74,2663.33,70,25,20,22,8.03611422,46.50563954,2718.015,2716.605,Global,0.012,0.013,0.017,0.017,0.134,m,FIX,2024-08-11 14:46:12.6 UTC+02:00,2024-08-11 14:46:22.6 UTC+02:00,51,2.2,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,120.974,CH1903+ / LV95 + LN02 height
5,0,further_up,1upper 02,2,2645867.1,1150644.443,2664.432,2663.022,80,20,22,24,8.03620331,46.50554127,2717.707,2716.297,Global,0.012,0.013,0.02,0.018,0.134,m,FIX,2024-08-11 14:47:38.6 UTC+02:00,2024-08-11 14:47:48.6 UTC+02:00,51,1.7,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,108.538,CH1903+ / LV95 + LN02 height
5,0,further_up,1upper 03,3,2645873.288,1150637.663,2664.271,2662.861,99,34,31,30,8.03628325,46.50547986,2717.546,2716.136,Global,0.018,0.013,0.019,0.022,0.134,m,FIX,2024-08-11 14:50:11.0 UTC+02:00,2024-08-11 14:50:21.0 UTC+02:00,51,2.3,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,100.071,CH1903+ / LV95 + LN02 height
5,1,Inj,1upper 04,4,2645886.746,1150617.984,2663.442,2662.032,65,33,40,38,8.03645663,46.50530191,2716.717,2715.307,Global,0.011,0.011,0.017,0.015,0.134,m,FIX,2024-08-11 14:52:04.0 UTC+02:00,2024-08-11 14:52:14.0 UTC+02:00,51,2.2,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,77.974,CH1903+ / LV95 + LN02 height
5,2,,1upper 05,5,2645886.744,1150612.401,2663.084,2661.674,55,18,30,28,8.03645605,46.5052517,2716.359,2714.949,Global,0.011,0.013,0.014,0.017,0.134,m,FIX,2024-08-11 14:54:24.8 UTC+02:00,2024-08-11 14:54:34.8 UTC+02:00,51,2,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,73.257,CH1903+ / LV95 + LN02 height
5,2,,1upper 06,6,2645888.956,1150593.863,2661.925,2660.515,70,23,28,30,8.03648302,46.50508479,2715.2,2713.79,Global,0.013,0.012,0.014,0.018,0.134,m,FIX,2024-08-11 14:55:58.6 UTC+02:00,2024-08-11 14:56:08.6 UTC+02:00,51,1.8,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,57.74,CH1903+ / LV95 + LN02 height
5,3,WTW,1upper 07,7,2645890.507,1150566.275,2661.001,2659.591,105,33,38,40,8.03650049,46.50483652,2714.276,2712.866,Global,0.012,0.017,0.019,0.021,0.134,m,FIX,2024-08-11 14:57:49.8 UTC+02:00,2024-08-11 14:57:59.8 UTC+02:00,51,1.3,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,40.455,CH1903+ / LV95 + LN02 height
5,4,,1upper 08,8,2645894.532,1150558.833,2660.516,2659.106,65,25,25,25,8.03655219,46.5047693,2713.792,2712.382,Global,0.011,0.014,0.012,0.018,0.134,m,FIX,2024-08-11 14:59:40.6 UTC+02:00,2024-08-11 14:59:50.6 UTC+02:00,51,1.3,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,36.106,CH1903+ / LV95 + LN02 height
5,5,CTD,1upper 09,9,2645904.601,1150545.484,2659.692,2658.282,75,20,30,27,8.03668204,46.50464853,2712.967,2711.557,Global,0.015,0.015,0.013,0.021,0.134,m,FIX,2024-08-11 15:01:41.0 UTC+02:00,2024-08-11 15:01:51.0 UTC+02:00,51,1.4,2645913.485,1150549.702,2690.003,8.0367982,46.50468587,2743.278,31.74,CH1903+ / LV95 + LN02 height
